25,0.0,0.0,0.0,0.0,0.12
50,0.0,0.0,0.0,0.0,0.3
75,0.0,0.0,0.0,0.0,0.3333333333333333
100,0.0,0.0,0.02,0.0,0.44
125,0.0,0.0,0.024,0.0,0.528
150,0.0,0.0,0.02,0.02,0.5466666666666666
175,0.0,0.0,0.04,0.011428571428571429,0.56
200,0.005,0.01,0.04,0.025,0.61
225,0.008888888888888889,0.008888888888888889,0.08,0.013333333333333334,0.6533333333333333
250,0.02,0.02,0.1,0.052,0.704
275,0.02181818181818182,0.03272727272727273,0.15272727272727274,0.08727272727272728,0.6909090909090909
300,0.013333333333333334,0.016666666666666666,0.18333333333333332,0.056666666666666664,0.6966666666666667
